language,perturbation,pipeline,cosine_similarity,num_comparison
zh,synonym,atomic,0.7746904482889495,1698
zh,word_order,atomic,0.7530945027841303,1724
zh,spelling,atomic,0.7656167512661876,1716
zh,expansion_noimpact,atomic,0.7812457742474617,1691
zh,intensifier,atomic,0.7590008034484655,1702
zh,expansion_impact,atomic,0.7480483712283386,1684
zh,omission,atomic,0.7131338499017879,1602
zh,alteration,atomic,0.7094663544134661,1606
zh,synonym,semantic,0.7793501014329893,1469
zh,word_order,semantic,0.7775416725159721,1462
zh,spelling,semantic,0.772694292721064,1588
zh,expansion_noimpact,semantic,0.7662828846307344,1512
zh,intensifier,semantic,0.7767632937569036,1515
zh,expansion_impact,semantic,0.7475050536496726,1445
zh,omission,semantic,0.7377757945348601,1453
zh,alteration,semantic,0.7099966955602531,1397
zh,synonym,vanilla,0.7941237673164558,1627
zh,word_order,vanilla,0.7871797770743809,1677
zh,spelling,vanilla,0.7848976207502026,1721
zh,expansion_noimpact,vanilla,0.790976627900231,1667
zh,intensifier,vanilla,0.7891226611415291,1581
zh,expansion_impact,vanilla,0.7753058168325596,1610
zh,omission,vanilla,0.737016380495697,1642
zh,alteration,vanilla,0.7468785703016086,1536
