language,perturbation,pipeline,cosine_similarity,num_comparison
hi,synonym,atomic,0.8035323886421857,1782
hi,word_order,atomic,0.7851233675003536,1723
hi,spelling,atomic,0.8231506077435589,1766
hi,expansion_noimpact,atomic,0.8120311584782665,1753
hi,intensifier,atomic,0.8124824658307171,1729
hi,expansion_impact,atomic,0.7847864913778158,1708
hi,omission,atomic,0.7618134283910318,1686
hi,alteration,atomic,0.7473701938818206,1674
hi,synonym,semantic,0.8134843252444313,1587
hi,word_order,semantic,0.7960088719433787,1562
hi,spelling,semantic,0.8235304964683586,1640
hi,expansion_noimpact,semantic,0.8122340525800941,1618
hi,intensifier,semantic,0.8061011655840394,1559
hi,expansion_impact,semantic,0.7879748273509304,1529
hi,omission,semantic,0.7603558550274176,1489
hi,alteration,semantic,0.769145142995278,1549
hi,synonym,vanilla,0.8148030786081537,1731
hi,word_order,vanilla,0.8095417658761275,1706
hi,spelling,vanilla,0.8418002656577507,1696
hi,expansion_noimpact,vanilla,0.8247190030820926,1677
hi,intensifier,vanilla,0.8226239800163728,1731
hi,expansion_impact,vanilla,0.809500401767267,1622
hi,omission,vanilla,0.7670141108141377,1566
hi,alteration,vanilla,0.7819741653365158,1633
