language,perturbation,pipeline,cosine_similarity,num_comparison
tl,synonym,atomic,0.8192570221478052,1823
tl,word_order,atomic,0.8132553912522639,1751
tl,spelling,atomic,0.8389613734041563,1817
tl,expansion_noimpact,atomic,0.8264216444652922,1803
tl,intensifier,atomic,0.811660996372975,1766
tl,expansion_impact,atomic,0.8082342922573448,1747
tl,omission,atomic,0.7711804364948277,1725
tl,alteration,atomic,0.7600312390421183,1682
tl,synonym,semantic,0.8226754354023498,1647
tl,word_order,semantic,0.8105909777928415,1663
tl,spelling,semantic,0.8327531625319472,1714
tl,expansion_noimpact,semantic,0.8227191991114486,1599
tl,intensifier,semantic,0.8139754796280023,1652
tl,expansion_impact,semantic,0.8155000365107571,1576
tl,omission,semantic,0.7823127644495965,1591
tl,alteration,semantic,0.7601259965419702,1559
tl,synonym,vanilla,0.8383973622316196,1772
tl,word_order,vanilla,0.8392422046502463,1693
tl,spelling,vanilla,0.8630588030196505,1756
tl,expansion_noimpact,vanilla,0.8356837931902864,1727
tl,intensifier,vanilla,0.8342218282850894,1706
tl,expansion_impact,vanilla,0.8216306552418239,1697
tl,omission,vanilla,0.7992520282841047,1666
tl,alteration,vanilla,0.7854973160248149,1655
