language,perturbation,pipeline,cosine_similarity,num_comparison
es,synonym,semantic,0.8082216967696186,1611
es,word_order,semantic,0.8324101469982919,1628
es,spelling,semantic,0.8293469681636954,1711
es,expansion_noimpact,semantic,0.8139395960806981,1627
es,intensifier,semantic,0.8070484424984348,1642
es,expansion_impact,semantic,0.8003780034051969,1569
es,omission,semantic,0.7949143274146758,1525
es,alteration,semantic,0.7530674578154732,1465
fr,synonym,semantic,0.8071635012581613,1661
fr,word_order,semantic,0.8095652494738198,1632
fr,spelling,semantic,0.8269675850599785,1700
fr,expansion_noimpact,semantic,0.7968647921765426,1605
fr,intensifier,semantic,0.8133826871246398,1646
fr,expansion_impact,semantic,0.7818356078276738,1538
fr,omission,semantic,0.7771045877818864,1604
fr,alteration,semantic,0.7216017530645928,1493
