lang,severity,avg_f1,avg_em
de,Critical,0.8183459595959596,0.7333333333333334
de,Major,0.678626905001701,0.5305347455437872
de,Minor,0.7632845113467279,0.618671679197995
de,Neutral,0.7003169421318415,0.5924917491749175
es,Critical,0.5351648480778916,0.41
es,Major,0.592239585152204,0.34688013136289003
es,Minor,0.6715471283972672,0.505447266934943
es,Neutral,0.6192296216987252,0.49696969696969695
fr,Critical,0.20636232454414272,0.045454545454545456
fr,Major,0.6488498793359565,0.43164794007490637
fr,Minor,0.6549424917371094,0.4247967479674797
fr,Neutral,0.6392345356933195,0.4717117117117117
ru,Critical,0.40124677511041146,0.25757575757575757
ru,Major,0.6772182220542219,0.5050324675324676
ru,Minor,0.7469999589875828,0.5377244340359094
ru,Neutral,0.7120453236167498,0.4687446748082931
zh-CN,Critical,0.5861111111111111,0.4666666666666666
zh-CN,Major,0.5957370651944179,0.39724436269500646
zh-CN,Minor,0.5578955044762953,0.34221002023235925
zh-CN,Neutral,0.649118679896002,0.46602595899470894
