lang,severity,avg_f1_baseline,avg_em_baseline,avg_f1_ner,avg_em_ner,delta_f1,delta_em
de,Critical,0.6623931623931624,0.5833333333333334,0.8183459595959596,0.7333333333333334,0.156,0.15
de,Major,0.5514061554729646,0.3527583527583527,0.678626905001701,0.5305347455437872,0.1272,0.1778
de,Minor,0.6238037235777483,0.3970315398886827,0.7632845113467279,0.618671679197995,0.1395,0.2216
de,Neutral,0.765132654690632,0.5367647058823529,0.7003169421318415,0.5924917491749175,-0.0648,0.0557
es,Critical,0.5738769556137315,0.2921348314606741,0.5351648480778916,0.41,-0.0387,0.1179
es,Major,0.5351945260389918,0.25,0.592239585152204,0.34688013136289,0.057,0.0969
es,Minor,0.541993697617659,0.2605740181268882,0.6715471283972672,0.505447266934943,0.1296,0.2449
es,Neutral,0.6541967278131572,0.332,0.6192296216987252,0.4969696969696969,-0.035,0.165
fr,Critical,0.1065197428833792,0.0,0.2063623245441427,0.0454545454545454,0.0998,0.0455
fr,Major,0.5269609561338885,0.2642857142857143,0.6488498793359565,0.4316479400749063,0.1219,0.1674
fr,Minor,0.4815636806382201,0.2607142857142857,0.6549424917371094,0.4247967479674797,0.1734,0.1641
fr,Neutral,0.6918522110393297,0.4851752021563342,0.6392345356933195,0.4717117117117117,-0.0526,-0.0135
ru,Critical,0.4352777777777777,0.15,0.4012467751104114,0.2575757575757575,-0.034,0.1076
ru,Major,0.496065059178115,0.1486486486486486,0.6772182220542219,0.5050324675324676,0.1812,0.3564
ru,Minor,0.5982976844126268,0.334975369458128,0.7469999589875828,0.5377244340359094,0.1487,0.2027
ru,Neutral,0.6529930788123124,0.2998296422487223,0.7120453236167498,0.4687446748082931,0.0591,0.1689
zh-CN,Critical,0.5909090909090909,0.5,0.5861111111111111,0.4666666666666666,-0.0048,-0.0333
zh-CN,Major,0.496620826507441,0.2044025157232704,0.5957370651944179,0.3972443626950064,0.0991,0.1928
zh-CN,Minor,0.5242962221442501,0.2175,0.5578955044762953,0.3422100202323592,0.0336,0.1247
zh-CN,Neutral,0.6131344966225531,0.3453996983408748,0.649118679896002,0.4660259589947089,0.036,0.1206
