lang,severity,avg_similarity
de,Critical,0.8458066925406456
de,Major,0.7746042695011182
de,Minor,0.8312316924923526
de,Neutral,0.7612370176992699
es,Critical,0.6136704878198603
es,Major,0.6937003291215081
es,Minor,0.7388020697919124
es,Neutral,0.6484977303877134
fr,Critical,0.39050540153050056
fr,Major,0.728390310025052
fr,Minor,0.7278591258757456
fr,Neutral,0.7011584273382585
ru,Critical,0.4639146850246823
ru,Major,0.7818777692860025
ru,Minor,0.8169408909170754
ru,Neutral,0.7970496981364693
zh-CN,Critical,0.677259067632258
zh-CN,Major,0.709635387004858
zh-CN,Minor,0.6653771701451783
zh-CN,Neutral,0.7665171482650164
