lang,severity,avg_similarity
de,Critical,0.7830089728037516
de,Major,0.7601370846335019
de,Minor,0.8055278367910047
de,Neutral,0.867023568718749
es,Critical,0.7806402627336845
es,Major,0.7810491208607951
es,Minor,0.7792753472856345
es,Neutral,0.8420091746666003
fr,Critical,0.6264968426390127
fr,Major,0.7508106504084675
fr,Minor,0.7241374137461706
fr,Neutral,0.8683821990176916
ru,Critical,0.5938773769885302
ru,Major,0.7350340612434052
ru,Minor,0.8182072792297754
ru,Neutral,0.8439253544977515
zh-CN,Critical,0.8274052540461222
zh-CN,Major,0.764082688393083
zh-CN,Minor,0.8065146207918924
zh-CN,Neutral,0.8659638638573665
