lang,severity,avg_f1,avg_em
de,Critical,0.5210611037139675,0.16666666666666666
de,Major,0.5750797454964118,0.24018475750577367
de,Minor,0.6546543435566569,0.2430939226519337
de,Neutral,0.7500924220269888,0.43529411764705883
es,Critical,0.5775088360577474,0.21348314606741572
es,Major,0.609532602506208,0.20833333333333334
es,Minor,0.6053170820236384,0.23614274867122248
es,Neutral,0.7018552442376411,0.2734375
fr,Critical,0.3391028301739123,0.0
fr,Major,0.5582838041478079,0.14285714285714285
fr,Minor,0.524094602946652,0.15371024734982333
fr,Neutral,0.7055517040333374,0.3076923076923077
ru,Critical,0.45872005755170564,0.0
ru,Major,0.5760433697411897,0.06756756756756757
ru,Minor,0.6506499543056848,0.24615384615384617
ru,Neutral,0.6652694598185,0.14821124361158433
zh-CN,Critical,0.6746031746031745,0.0
zh-CN,Major,0.5563651763588473,0.12578616352201258
zh-CN,Minor,0.611270166106514,0.13602015113350127
zh-CN,Neutral,0.7046726339217849,0.22518518518518518
