lang,severity,avg_f1,avg_em
de,Critical,0.6623931623931624,0.5833333333333334
de,Major,0.5514061554729646,0.35275835275835277
de,Minor,0.6238037235777483,0.3970315398886827
de,Neutral,0.765132654690632,0.5367647058823529
es,Critical,0.5738769556137315,0.29213483146067415
es,Major,0.5351945260389918,0.25
es,Minor,0.541993697617659,0.26057401812688824
es,Neutral,0.6541967278131572,0.332
fr,Critical,0.10651974288337925,0.0
fr,Major,0.5269609561338885,0.2642857142857143
fr,Minor,0.48156368063822014,0.26071428571428573
fr,Neutral,0.6918522110393297,0.48517520215633425
ru,Critical,0.43527777777777776,0.15
ru,Major,0.496065059178115,0.14864864864864866
ru,Minor,0.5982976844126268,0.33497536945812806
ru,Neutral,0.6529930788123124,0.29982964224872233
zh-CN,Critical,0.5909090909090909,0.5
zh-CN,Major,0.49662082650744105,0.20440251572327045
zh-CN,Minor,0.5242962221442501,0.2175
zh-CN,Neutral,0.6131344966225531,0.3453996983408748
