language,perturbation,pipeline,cosine_similarity,num_comparison
es,synonym,atomic,0.8153658622342872,1765
es,word_order,atomic,0.8099966445619493,1747
es,spelling,atomic,0.8379062628502035,1739
es,expansion_noimpact,atomic,0.8124326211593795,1733
es,intensifier,atomic,0.8115525625804274,1743
es,expansion_impact,atomic,0.8027007068875058,1692
es,omission,atomic,0.7660889695471735,1717
es,alteration,atomic,0.736318628514784,1659
fr,synonym,atomic,0.8076162735831168,1818
fr,word_order,atomic,0.8109279670888392,1783
fr,spelling,atomic,0.8238438340373397,1845
fr,expansion_noimpact,atomic,0.8004156689505737,1738
fr,intensifier,atomic,0.8135320420997314,1776
fr,expansion_impact,atomic,0.7937432446514434,1780
fr,omission,atomic,0.7814409321581308,1699
fr,alteration,atomic,0.7083784273736752,1625
