lang,severity,avg_similarity
de,Critical,0.7950159242997566
de,Major,0.7046098951091114
de,Minor,0.7591512194387131
de,Neutral,0.8776969863193146
es,Critical,0.7641242473605978
es,Major,0.6896389708078156
es,Minor,0.7025847893638756
es,Neutral,0.7824458263367414
fr,Critical,0.46408193897117267
fr,Major,0.6772476533960019
fr,Minor,0.6710413027222135
fr,Neutral,0.8436904781826865
ru,Critical,0.5527474783360958
ru,Major,0.6789233366128158
ru,Minor,0.7389943722011567
ru,Neutral,0.8010095281945303
zh-CN,Critical,0.7256736606359482
zh-CN,Major,0.7120489863702243
zh-CN,Minor,0.690332945959332
zh-CN,Neutral,0.7707573272439554
